text,commentary of,
1509,223,
1510,235,
1516,224,
1519,262,
1521,285,
1522,285,
1523,310(43),
1524,310(5),
1525,310(41),
1526,310(47),
1527,374,
1529,389,
1530,680,
1531,464,
1532,586,
1559,1560,
1579,"1499,1500",
1643,846,?
1694,603,?
1696,223,
1697,223,
1698,235,
1699,235,
1700,235,
1701,235,
1702,235,
1703,235,
1704,236,
1705,245,
1706,245,
1707,245,
1708,245,
1709,246,
1710,251,
1711,251,
1712,251,
1703,251,
1714,251,
1715,262,
1716,262,
1717,262,
1718,262,
1719,262,
1720,262,
1721,262,
1722,262,
1723,262,
1724,262,
1725,262,
1726,262(25),
1727,262(25),
1728,262(25),
1729,262(25),
1730,273,
1731,278,
1732,278,
1733,278,
1734,278,
1735,279,
1736,279,
1736,279,
1738,279,
1739,279,
1740,279,
1741,279,
1742,279,
1743,279,
1744,353,
1745,360,
1746,360,
1747,360,
1748,360,
1749,365,
1750,365,
1751,365,
1752,365,
1753,365,
1754,365,
1755,366,
1756,366,
1757,366,
1758,366,
1759,366,
1760,366,
1761,366,
1762,366,
1763,375,
1764,374,
1765,375,
1766,375,
1767,375,
1768,375,
1769,375,
1770,450,
1771,452,
1772,452,
1773,452,
1774,"452,454,456",
1775,475,
1776,475,
1777,475,
1778,475,
1779,475,
1780,475,
1781,475,
1782,476,
1783,663,
1784,663,
1785,663,
1786,663,
1787,663,
1788,665,
1789,670,
1790,672,
1791,672,
1792,685,
1793,701,
1794,784,
1795,842,
1796,848,
1797,848,
1798,866,
1799,945,
1800,1043,
1801,1043,
1802,1071,
1803,967,
1804,1428,
1805,1428,
1806,"1429,1430",
1807,"1429,1430",
1808,"1432,1433,1434",
1809,"1432,1433",
1810,"1432,1434",
1811,1484,
1812,1484,
1812,1484,
1813,1484,
1814,1484,
1815,1484,
1816,1511,
1817,"1510,1511,1512,1513,1514",
1818,1519,
1819,1524,
1820,"389,1529",
1821,1558,
1822,"1558,1560",
1823,"1558,1560",
1824,1564,
1825,1568,
1826,1568,
1827,1569,
1828,1579,
1829,1579,
1830,1585,
1831,1585,
1832,1585,
1833,?,
1834,1590,
1835,1600,
1836,1614,
1837,1614,
1838,1626,
1839,1628,
1840,1630,
1841,1630,
1842,1630,
1843,1666,
1844,1666,
1845,1666,
1846,1666,
1847,1666,
1848,1666,
1849,1666,
1850,1667,